,precision,recall,f1-score,support
1,0.9125,0.948051948051948,0.929936305732484,77.0
2,1.0,1.0,1.0,86.0
3,0.9969135802469136,1.0,0.9984544049459042,323.0
4,0.9869281045751634,1.0,0.993421052631579,151.0
5,0.65,0.8125,0.7222222222222223,16.0
6,0.9166666666666666,0.9565217391304348,0.9361702127659574,46.0
7,1.0,1.0,1.0,31.0
8,0.9983457402812241,0.9934156378600824,0.9958745874587458,2430.0
accuracy,0.9920886075949367,0.9920886075949367,0.9920886075949367,0.9920886075949367
macro avg,0.932669261471246,0.9638111656303081,0.9470098482196116,3160.0
weighted avg,0.9926704258736214,0.9920886075949367,0.9923123671372907,3160.0
